928 2754
89 242 692
236 214 768
784 893 964
606 420 998
671 445 38
45 262 670
86 353 311
915 887 577
619 437 224
351 882 182
845 405 636
463 193 171
582 26 740
425 57 60
140 469 609
131 222 93
75 453 730
274 397 433
539 179 589
593 37 982
320 341 59
809 158 786
860 741 701
520 100 201
113 858 392
342 425 9
224 545 652
509 109 420
237 472 926
175 240 411
820 622 308
271 181 301
485 17 59
145 858 968
757 249 546
181 813 676
903 684 240
615 199 430
2 429 711
22 868 213
265 542 643
302 557 488
124 574 940
322 665 753
586 152 869
173 284 681
579 589 118
64 682 819
725 651 462
334 476 76
396 51 920
155 338 458
503 208 872
143 748 515
535 210 174
251 798 881
263 345 528
28 678 301
664 376 517
412 453 560
701 198 263
218 103 6
546 6 666
290 15 759
386 660 364
920 410 587
575 280 588
433 244 189
597 651 397
524 865 481
4 317 540
708 631 265
711 312 637
304 108 377
69 27 874
771 114 161
52 780 58
611 311 88
770 501 842
570 260 479
200 589 427
143 768 247
48 359 600
321 719 577
690 694 766
248 250 873
558 720 754
644 546 355
801 722 540
562 861 299
702 517 182
900 868 161
474 526 715
877 749 973
15 83 742
650 766 173
351 61 453
533 850 227
875 665 961
737 234 724
538 854 319
197 778 451
208 677 874
654 311 497
416 518 520
829 456 794
119 690 788
801 159 11
714 895 327
477 386 412
578 518 88
588 18 4
900 910 440
694 477 569
870 691 917
919 499 7
817 215 236
249 903 832
854 175 393
96 173 621
71 41 342
50 318 867
705 590 759
147 144 191
419 628 130
51 747 820
448 663 170
398 12 344
811 318 856
424 874 754
454 889 560
854 257 106
880 427 805
414 913 108
351 572 297
915 632 952
52 28 410
47 109 791
890 469 277
599 238 641
901 397 331
448 92 293
282 488 374
869 868 160
410 321 121
531 372 474
516 638 419
359 199 735
248 544 98
462 772 337
282 32 853
307 275 566
88 82 751
415 108 48
807 424 198
793 854 419
627 710 472
326 436 647
673 734 242
600 577 963
832 536 393
663 335 277
813 72 899
312 48 163
847 144 933
304 789 644
18 203 651
441 903 865
33 273 165
614 183 74
130 667 873
413 80 629
881 788 446
462 280 296
329 926 403
536 382 421
264 345 652
466 351 393
266 480 949
304 882 286
354 435 185
123 615 958
692 868 757
194 518 648
733 277 356
628 394 303
300 575 210
426 554 652
552 287 784
422 307 864
347 454 837
599 395 894
19 837 496
515 367 375
296 881 833
372 814 15
832 749 719
238 367 942
405 51 234
75 593 22
425 620 769
847 821 674
39 362 754
452 13 886
32 829 263
118 864 264
27 269 91
888 510 923
32 489 395
154 453 242
241 481 845
15 681 561
845 275 186
138 851 844
16 245 609
667 706 312
424 475 591
547 504 123
381 136 382
40 90 852
100 30 253
409 744 129
276 365 145
745 925 42
54 520 542
879 212 198
707 412 268
304 826 342
619 370 544
247 610 890
550 16 688
646 896 9
883 779 206
874 508 499
919 741 783
491 170 493
144 265 377
497 44 321
723 513 131
174 539 900
406 92 486
477 173 864
236 894 711
339 882 230
751 261 861
625 243 126
67 764 985
547 238 509
924 174 887
136 696 266
916 466 198
190 635 578
652 205 315
23 212 941
803 890 969
87 427 596
672 324 262
645 266 429
799 924 973
568 417 801
499 294 382
205 212 485
222 251 494
47 415 109
612 195 648
80 445 904
206 219 758
505 628 261
846 554 919
485 55 249
347 702 610
510 752 682
96 843 347
332 310 426
144 738 355
491 373 788
517 824 377
641 14 522
890 319 477
530 351 682
167 58 935
453 408 726
447 570 8
180 586 390
323 229 761
331 202 460
381 627 792
9 618 2
455 15 709
911 488 574
652 123 404
446 657 994
875 440 919
880 478 491
255 868 305
204 34 837
208 760 784
369 297 369
380 50 873
86 456 750
805 892 649
772 606 805
18 615 359
786 228 15
291 275 76
227 832 12
203 210 188
52 49 123
207 526 311
182 805 631
421 350 214
555 413 455
751 794 37
602 710 461
476 823 883
71 78 421
86 625 255
573 26 744
16 192 912
743 319 895
659 655 508
594 379 891
207 31 111
16 351 879
913 829 805
730 289 872
598 519 730
6 663 778
331 471 816
252 661 90
928 491 603
284 719 252
192 333 754
721 78 368
237 21 199
853 667 746
729 494 276
756 219 341
616 820 385
27 431 930
905 120 905
299 728 302
690 513 597
213 19 120
711 13 490
864 423 420
782 391 66
312 834 821
17 782 973
378 541 463
362 342 30
353 261 844
35 817 169
522 3 409
376 922 665
721 688 505
57 90 178
628 614 679
68 6 748
399 303 285
540 567 504
471 108 48
919 458 120
411 902 731
597 650 239
190 152 568
680 905 504
732 545 251
95 214 199
119 554 597
672 778 427
452 163 151
29 552 702
111 594 816
789 872 755
266 589 657
800 98 825
855 842 472
431 542 178
174 312 610
880 676 13
663 729 631
602 327 18
890 499 157
136 144 154
790 860 905
447 459 727
330 770 675
643 554 881
231 82 236
103 550 557
258 361 490
582 866 678
445 284 26
816 376 54
640 826 646
708 361 512
645 348 951
96 180 180
757 91 6
800 66 771
10 211 680
585 232 943
607 541 651
360 400 252
183 702 355
651 56 758
215 730 723
445 84 487
928 395 703
208 354 643
433 10 932
103 568 254
414 212 660
361 261 477
191 441 66
463 896 356
563 673 76
65 561 184
706 172 537
487 277 535
614 289 192
288 679 433
3 356 784
